#ReleaseY	RecaptureY	Yearclass	Nscan	R	r	Type
2011	2012	2010	15855.11137	119.5714286	0	1
2011	2012	2009	12934.64408	2588.843255	1.443062201	1
2011	2012	2008	31718.92869	5407.868423	4.165550239	1
2011	2012	2007	42781.11065	1985.660159	2.874107205	1
2011	2012	2006	56313.85783	3169.870268	5.705518242	1
2011	2012	2005	34938.69637	1701.573325	3.096907717	1
2011	2012	2004	16167.77367	1297.385217	2.725296079	1
2011	2012	2003	9117.361357	825.136275	2.052774327	1
2011	2012	2002	4775.10369	768.3456177	2.481228433	1
2011	2012	2001	852.6396426	326.2857143	0.787619048	1
2011	2012	2000	867.5423801	202.1428571	0.373650794	1
2011	2012	1999	903.5576976	51.36507937	0.071428571	1
2011	2012	1998	710.2654169	85.36507937	0.151428571	1
2011	2012	1997	44.59738582	94.36507937	0.071428571	1
2011	2012	1996	0	21.22222222	0	1
2011	2013	2010	70936.04656	119.5714286	0	1
2011	2013	2009	26120.12444	2588.843255	2.091915102	1
2011	2013	2008	44182.02591	5407.868423	4.539774261	1
2011	2013	2007	46703.45849	1985.660159	2.747750343	1
2011	2013	2006	41947.84236	3169.870268	5.620239829	1
2011	2013	2005	30100.8353	1701.573325	2.585174035	1
2011	2013	2004	11841.70591	1297.385217	3.199956644	1
2011	2013	2003	3806.937616	825.136275	1.372401656	1
2011	2013	2002	1215.548527	768.3456177	0.944375431	1
2011	2013	2001	615.8954851	326.2857143	0.596190476	1
2011	2013	2000	371.8513169	202.1428571	0.262222222	1
2011	2013	1999	0	51.36507937	0	1
2011	2013	1998	0	85.36507937	0.04	1
2011	2013	1997	0	94.36507937	0	1
2011	2013	1996	0	21.22222222	0	1
2011	2014	2010	136393.4064	119.5714286	0.142857143	1
2011	2014	2009	58245.04175	2588.843255	3.587650946	1
2011	2014	2008	80912.42031	5407.868423	7.108726361	1
2011	2014	2007	74739.15148	1985.660159	3.398269884	1
2011	2014	2006	64788.20117	3169.870268	5.183389056	1
2011	2014	2005	27222.64535	1701.573325	3.010803441	1
2011	2014	2004	9033.265773	1297.385217	2.090094059	1
2011	2014	2003	4728.174693	825.136275	0.833488613	1
2011	2014	2002	1816.496218	768.3456177	0.501863354	1
2011	2014	2001	470.0787411	326.2857143	0.142857143	1
2011	2014	2000	198.8705649	202.1428571	0	1
2011	2014	1999	0	51.36507937	0	1
2011	2014	1998	0	85.36507937	0	1
2011	2014	1997	0	94.36507937	0	1
2011	2014	1996	0	21.22222222	0	1
2011	2015	2010	149031.8825	119.5714286	0	1
2011	2015	2009	81409.21206	2588.843255	4.035504846	1
2011	2015	2008	98679.77731	5407.868423	6.892945651	1
2011	2015	2007	91144.36014	1985.660159	2.795382802	1
2011	2015	2006	51292.70893	3169.870268	3.850789028	1
