#year	age	cW	sW	mat	ssbW
2019	1	60	60	0	60
2019	2	1318	1328	0.07	1328
2019	3	2211	2123	0.55	2123
2019	4	3454	3408	0.83	3408
2019	5	4440	4292	0.98	4292
2019	6	5168	4956	0.97	4956
2019	7	6188	5663	1	5663
2019	8	7297	7009	1	7009
2019	9	8291	8817	1	8817
2019	10	10336	10393	1	10393
