#year	catch
1985	14.47099
1986	12.705103
1987	11.156993
1988	14.022583
1989	11.306841
1990	11.343385
1991	10.714708
1992	10.46815
1993	13.214229
1994	12.474664
1995	11.086144
1996	11.627091
1997	11.108332
1998	7.658754
1999	7.332021
2000	5.364314
2001	5.019635
2002	5.209882
2003	5.335474
2004	5.823781
2005	5.916807
2006	6.546804
2007	5.884993
2008	6.725733
2009	6.32327
2010	6.055364
2011	4.968279
2012	5.94453
2013	6.004753
2014	5.927335
2015	6.754426
2016	7.450597
2017	6.693813
