#year	age	cwt	swt	mat	ssbwts
2018	1	-1	32	0	-1
2018	2	-1	272	0	-1
2018	3	1153	726	0	1153
2018	4	1766	1179	0.079	1766
2018	5	2314	1819	0.18	2314
2018	6	2964	2508	0.36	2964
2018	7	4159	3702	0.591	4159
2018	8	5381	5206	0.787	5381
2018	9	6933	7184	0.905	6933
2018	10	7525	8663	1	7525
2018	11	8475	10732	1	8475
2018	12	8982	13233	1	8982
2018	13	9035	12800	1	9035
2018	14	8921	12026	1	8921
