#year	age	cW	sW	mat	ssbW
2019	1	250	370	0	370
2019	2	642	594	0.1	594
2019	3	1000	784	0.78	784
2019	4	1584	1055	0.98	1055
2019	5	1944	1919	1	1919
2019	6	2281	2096	1	2096
2019	7	2544	2375	1	2375
2019	8	2597	2475	1	2475
2019	9	2818	2329	1	2329
2019	10	3288	2524	1	2524
