#year	age	N1
1988	1	333
1989	1	-1
1990	1	478
1991	1	-1
1992	1	1056
1993	1	113
1994	1	2
1995	1	834
1996	1	196
1997	1	1489
1998	1	-1
1999	1	1036
2000	1	2550
2001	1	12
2002	1	-1
2003	1	1152
2004	1	-1
2005	1	-1
2006	1	-1
2007	1	-1
2008	1	516.1
2009	1	757.5
2010	1	84.7
2011	1	-1
2012	1	42
2013	1	468.4
2014	1	437.9
2015	1	282.5
2016	1	519
2017	1	228
2018	1	1156
2019	1	748.2
