#year	age	cW	sW	mat	ssbW
2019	3	1574	1372	0.07	1372
2019	4	1849	1743	0.28	1743
2019	5	2055	2021	0.53	2021
2019	6	2452	2527	0.76	2527
2019	7	3950	3601	0.91	3601
2019	8	4879	5351	0.98	5351
2019	9	6138	6143	0.99	6143
2019	10	7481	7247	1	7247
2019	11	8217	7792	1	7792
2019	12	7567	8244	1	8244
2019	13	7924	8043	1	8043
2019	14	8179	8192	1	8192
2019	15	8090	8289	1	8289
